Method:,Column 1,,
Host Date-Time:,10/12/20 @ 16:23:7,,
Header Version:,1,,
System Temp hundredths:,3131,,
Detector Temp hundredths:,2737,,
Humidity hundredths:,517,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.206001,91207.000000,56758.000000
905.391135,0.200681,100140.000000,63085.000000
909.293086,0.198606,108241.000000,68515.000000
913.190685,0.197679,116884.000000,74144.000000
917.083931,0.201522,127518.000000,80177.000000
920.972825,0.201422,140036.000000,88068.000000
926.151245,0.202668,160442.000000,100612.000000
930.029983,0.199574,176924.000000,111741.000000
933.904368,0.195680,192482.000000,122662.000000
937.774400,0.190474,207019.000000,133517.000000
941.640080,0.186887,220214.000000,143205.000000
945.501407,0.183915,231781.000000,151762.000000
949.358382,0.179104,242385.000000,160473.000000
953.211004,0.178716,252506.000000,167323.000000
957.059273,0.177725,262404.000000,174279.000000
962.183529,0.175706,275634.000000,183919.000000
966.021642,0.173788,285310.000000,191218.000000
969.855403,0.172751,294814.000000,198060.000000
973.684811,0.172236,303951.000000,204441.000000
977.509867,0.171277,312634.000000,210746.000000
981.330570,0.171035,320588.000000,216228.000000
985.146920,0.170685,327227.000000,220884.000000
988.958918,0.171109,332863.000000,224469.000000
992.766563,0.170252,337748.000000,228213.000000
997.836653,0.170574,342296.000000,231115.000000
1001.634142,0.170904,344897.000000,232694.000000
1005.427279,0.171445,346533.000000,233507.000000
1009.216063,0.171613,347364.000000,233976.000000
1013.000494,0.170435,347610.000000,234778.000000
1016.780573,0.171723,347104.000000,233742.000000
1020.556299,0.171310,346356.000000,233460.000000
1024.327673,0.170277,345314.000000,233312.000000
1028.094694,0.170537,344068.000000,232331.000000
1033.110618,0.170154,342670.000000,231591.000000
1036.867483,0.169625,341443.000000,231043.000000
1040.619996,0.169369,340565.000000,230585.000000
1044.368155,0.169044,339602.000000,230105.000000
1048.111963,0.169057,339187.000000,229817.000000
1051.851417,0.168238,338370.000000,229696.000000
1055.586519,0.168081,337732.000000,229346.000000
1059.317269,0.168341,337270.000000,228895.000000
1063.043666,0.167237,337131.000000,229383.000000
1068.005424,0.167081,337198.000000,229511.000000
1071.721665,0.167362,337936.000000,229865.000000
1075.433553,0.167583,338814.000000,230345.000000
1079.141089,0.169121,339835.000000,230222.000000
1082.844272,0.168432,341087.000000,231437.000000
1086.543103,0.169493,342595.000000,231893.000000
1090.237580,0.169130,344242.000000,233203.000000
1093.927706,0.168999,346318.000000,234680.000000
1097.613478,0.168372,348067.000000,236206.000000
1102.521071,0.168157,350874.000000,238229.000000
1106.196688,0.168068,352530.000000,239402.000000
1109.867952,0.167565,354393.000000,240946.000000
1113.534864,0.167242,356181.000000,242342.000000
1117.197422,0.165764,357783.000000,244262.000000
1120.855629,0.164838,359117.000000,245696.000000
1124.509482,0.165847,360790.000000,246268.000000
1128.158984,0.164460,361832.000000,247769.000000
1131.804132,0.165446,363284.000000,248199.000000
1136.657559,0.168027,364834.000000,247781.000000
1140.292552,0.168418,365983.000000,248338.000000
1143.923192,0.171046,367533.000000,247885.000000
1147.549479,0.173133,368590.000000,247406.000000
1151.171414,0.176030,369591.000000,246429.000000
1154.788996,0.178966,370608.000000,245442.000000
1158.402225,0.182576,371792.000000,244188.000000
1162.011102,0.187241,373034.000000,242386.000000
1165.615627,0.190843,374075.000000,241055.000000
1170.414889,0.196215,375979.000000,239303.000000
1174.009257,0.199147,377809.000000,238850.000000
1177.599273,0.201134,379926.000000,239092.000000
1181.184936,0.201455,382215.000000,240355.000000
1184.766246,0.202965,385401.000000,241517.000000
1188.343204,0.204392,388776.000000,242833.000000
1191.915809,0.206183,392428.000000,244105.000000
1195.484062,0.208816,395791.000000,244709.000000
1199.047962,0.211093,399382.000000,245638.000000
1203.793059,0.212536,405070.000000,248310.000000
1207.346803,0.212603,409052.000000,250712.000000
1210.896194,0.210503,412904.000000,254300.000000
1214.441233,0.207625,416885.000000,258459.000000
1217.981920,0.204765,421320.000000,262934.000000
1221.518253,0.200940,425284.000000,267756.000000
1225.050234,0.198548,429183.000000,271703.000000
1228.577863,0.196198,433814.000000,276125.000000
1232.101139,0.195005,438565.000000,279917.000000
1236.792070,0.194358,444300.000000,284000.000000
1240.305190,0.194553,448060.000000,286275.000000
1243.813957,0.196067,452297.000000,287976.000000
1247.318372,0.197421,455893.000000,289362.000000
1250.818434,0.199129,459082.000000,290243.000000
1254.314143,0.201509,462510.000000,290812.000000
1257.805500,0.203525,466532.000000,291982.000000
1261.292505,0.206200,470752.000000,292814.000000
1264.775157,0.208326,474874.000000,293936.000000
1269.411922,0.210922,480696.000000,295766.000000
1272.884417,0.213135,486062.000000,297548.000000
1276.352561,0.213858,490790.000000,299942.000000
1279.816351,0.213872,494557.000000,302235.000000
1283.275789,0.213280,498768.000000,305224.000000
1286.730874,0.211898,502917.000000,308744.000000
1290.181607,0.209753,506587.000000,312537.000000
1293.627987,0.207199,509239.000000,316026.000000
1297.070015,0.205529,511855.000000,318873.000000
1301.652615,0.201965,515095.000000,323536.000000
1305.084486,0.200012,516531.000000,325900.000000
1308.512005,0.198705,517299.000000,327368.000000
1311.935171,0.197696,518312.000000,328772.000000
1315.353985,0.197259,518822.000000,329427.000000
1318.768446,0.196569,518589.000000,329803.000000
1322.178555,0.196960,518088.000000,329188.000000
1325.584311,0.196868,517825.000000,329090.000000
1328.985715,0.197656,517743.000000,328442.000000
1333.514148,0.198448,517179.000000,327486.000000
1336.905396,0.200577,516086.000000,325196.000000
1340.292291,0.203170,515807.000000,323085.000000
1343.674833,0.206323,515261.000000,320409.000000
1347.053022,0.210384,514494.000000,316954.000000
1350.426860,0.215223,513196.000000,312651.000000
1353.796344,0.220636,511820.000000,307951.000000
1357.161476,0.226069,510453.000000,303310.000000
1360.522255,0.232645,508989.000000,297895.000000
1364.996523,0.239121,506578.000000,292096.000000
1368.347147,0.240948,504705.000000,289794.000000
1371.693417,0.241598,502623.000000,288167.000000
1375.035335,0.240192,499288.000000,287183.000000
1378.372901,0.239915,496007.000000,285478.000000
1381.706114,0.240241,493126.000000,283607.000000
1385.034974,0.241042,489992.000000,281285.000000
1388.359481,0.242172,487730.000000,279259.000000
1391.679637,0.242616,486234.000000,278118.000000
1396.099739,0.243233,485318.000000,277200.000000
1399.409738,0.243099,485002.000000,277105.000000
1402.715385,0.243663,484535.000000,276479.000000
1406.016679,0.245224,484521.000000,275479.000000
1409.313620,0.246427,485069.000000,275028.000000
1412.606208,0.248788,485477.000000,273767.000000
1415.894445,0.251693,485710.000000,272072.000000
1419.178328,0.256037,486186.000000,269628.000000
1422.457859,0.261564,487691.000000,267043.000000
1426.823796,0.271110,489071.000000,261976.000000
1430.093171,0.278844,490374.000000,258038.000000
1433.358193,0.288373,491971.000000,253260.000000
1436.618863,0.298059,493431.000000,248409.000000
1439.875180,0.308927,495220.000000,243148.000000
1443.127144,0.320876,496699.000000,237256.000000
1446.374756,0.331335,498105.000000,232266.000000
1449.618016,0.343043,499484.000000,226714.000000
1453.935591,0.359747,501051.000000,218844.000000
1457.168694,0.372428,501839.000000,212881.000000
1460.397445,0.385852,502305.000000,206593.000000
1463.621843,0.398631,502914.000000,200846.000000
1466.841888,0.411986,502990.000000,194793.000000
1470.057581,0.423672,502944.000000,189604.000000
1473.268921,0.436671,502843.000000,183976.000000
1476.475909,0.447851,502522.000000,179186.000000
1479.678544,0.457457,501687.000000,174975.000000
1483.941954,0.471721,500616.000000,168960.000000
1487.134433,0.479521,499704.000000,165650.000000
1490.322559,0.490413,498255.000000,161079.000000
1493.506333,0.496685,496773.000000,158297.000000
1496.685754,0.505522,495016.000000,154560.000000
1499.860823,0.512896,492977.000000,151332.000000
1503.031539,0.520846,491156.000000,148038.000000
1506.197903,0.528277,489004.000000,144889.000000
1509.359914,0.535341,486639.000000,141862.000000
1513.569158,0.541605,482899.000000,138756.000000
1516.721012,0.546349,479678.000000,136333.000000
1519.868515,0.550902,476890.000000,134127.000000
1523.011664,0.554251,473405.000000,132124.000000
1526.150462,0.557558,470037.000000,130189.000000
1529.284906,0.560483,466420.000000,128320.000000
1532.414998,0.560623,462360.000000,127162.000000
1535.540737,0.563197,457987.000000,125215.000000
1538.662124,0.563974,453227.000000,123692.000000
1542.817202,0.566243,447406.000000,121467.000000
1545.928433,0.569584,442064.000000,119097.000000
1549.035311,0.570386,436619.000000,117413.000000
1552.137837,0.573863,431327.000000,115065.000000
1555.236010,0.577467,425604.000000,112600.000000
1558.329830,0.581639,419782.000000,109998.000000
1561.419298,0.586414,413789.000000,107242.000000
1564.504413,0.589477,407625.000000,104902.000000
1567.585176,0.590772,401258.000000,102956.000000
1571.686088,0.597475,392494.000000,99165.000000
1574.756695,0.601130,386060.000000,96722.000000
1577.822949,0.601826,379068.000000,94818.000000
1580.884850,0.607712,372237.000000,91856.000000
1583.942399,0.607546,365532.000000,90236.000000
1586.995595,0.604920,358457.000000,89026.000000
1590.044439,0.603061,351337.000000,87632.000000
1593.088930,0.590889,343946.000000,88227.000000
1596.129068,0.582078,337142.000000,88254.000000
1600.175815,0.573934,327373.000000,87319.000000
1603.205798,0.566901,320074.000000,86766.000000
1606.231427,0.557146,312860.000000,86737.000000
1609.252704,0.553138,305444.000000,85466.000000
1612.269629,0.547642,298028.000000,84453.000000
1615.282201,0.540030,290981.000000,83914.000000
1618.290420,0.530663,283873.000000,83649.000000
1621.294287,0.523546,276705.000000,82884.000000
1624.293801,0.515806,269751.000000,82254.000000
1628.286383,0.505678,260451.000000,81292.000000
1631.275741,0.499427,253416.000000,80243.000000
