Method:,Column 1,,
Host Date-Time:,17/12/20 @ 10:51:16,,
Header Version:,1,,
System Temp hundredths:,2777,,
Detector Temp hundredths:,2318,,
Humidity hundredths:,1705,,
Lamp PD:,3658,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.102599,91207.000000,72016.000000
905.391135,0.094914,100140.000000,80481.000000
909.293086,0.092895,108241.000000,87397.000000
913.190685,0.091598,116884.000000,94658.000000
917.083931,0.090862,127518.000000,103445.000000
920.972825,0.089869,140036.000000,113860.000000
926.151245,0.090224,160442.000000,130345.000000
930.029983,0.086997,176924.000000,144807.000000
933.904368,0.084380,192482.000000,158493.000000
937.774400,0.081205,207019.000000,171714.000000
941.640080,0.078949,220214.000000,183610.000000
945.501407,0.076256,231781.000000,194456.000000
949.358382,0.075005,242385.000000,203939.000000
953.211004,0.073835,252506.000000,213028.000000
957.059273,0.073265,262404.000000,221669.000000
962.183529,0.071592,275634.000000,233744.000000
966.021642,0.071001,285310.000000,242279.000000
969.855403,0.069528,294814.000000,251200.000000
973.684811,0.069179,303951.000000,259194.000000
977.509867,0.068715,312634.000000,266883.000000
981.330570,0.067978,320588.000000,274138.000000
985.146920,0.067662,327227.000000,280019.000000
988.958918,0.067553,332863.000000,284913.000000
992.766563,0.066922,337748.000000,289515.000000
997.836653,0.065774,342296.000000,294190.000000
1001.634142,0.064816,344897.000000,297080.000000
1005.427279,0.063677,346533.000000,299273.000000
1009.216063,0.062524,347364.000000,300788.000000
1013.000494,0.061497,347610.000000,301714.000000
1016.780573,0.059762,347104.000000,302481.000000
1020.556299,0.058776,346356.000000,302515.000000
1024.327673,0.058619,345314.000000,301714.000000
1028.094694,0.058176,344068.000000,300932.000000
1033.110618,0.058331,342670.000000,299602.000000
1036.867483,0.057508,341443.000000,299096.000000
1040.619996,0.056456,340565.000000,299050.000000
1044.368155,0.055566,339602.000000,298816.000000
1048.111963,0.056160,339187.000000,298043.000000
1051.851417,0.055111,338370.000000,298044.000000
1055.586519,0.054888,337732.000000,297635.000000
1059.317269,0.053773,337270.000000,297992.000000
1063.043666,0.053867,337131.000000,297805.000000
1068.005424,0.054432,337198.000000,297477.000000
1071.721665,0.054935,337936.000000,297783.000000
1075.433553,0.055863,338814.000000,297919.000000
1079.141089,0.055548,339835.000000,299034.000000
1082.844272,0.056827,341087.000000,299253.000000
1086.543103,0.057443,342595.000000,300150.000000
1090.237580,0.058886,344242.000000,300592.000000
1093.927706,0.060132,346318.000000,301539.000000
1097.613478,0.062595,348067.000000,301348.000000
1102.521071,0.066368,350874.000000,301150.000000
1106.196688,0.070017,352530.000000,300040.000000
1109.867952,0.073631,354393.000000,299126.000000
1113.534864,0.077048,356181.000000,298279.000000
1117.197422,0.079834,357783.000000,297705.000000
1120.855629,0.081316,359117.000000,297797.000000
1124.509482,0.082594,360790.000000,298305.000000
1128.158984,0.083342,361832.000000,298652.000000
1131.804132,0.084102,363284.000000,299326.000000
1136.657559,0.085874,364834.000000,299379.000000
1140.292552,0.086479,365983.000000,299904.000000
1143.923192,0.088171,367533.000000,300003.000000
1147.549479,0.088852,368590.000000,300394.000000
1151.171414,0.090246,369591.000000,300245.000000
1154.788996,0.091435,370608.000000,300248.000000
1158.402225,0.091977,371792.000000,300831.000000
1162.011102,0.092571,373034.000000,301424.000000
1165.615627,0.091857,374075.000000,302762.000000
1170.414889,0.089231,375979.000000,306149.000000
1174.009257,0.086403,377809.000000,309649.000000
1177.599273,0.082095,379926.000000,314488.000000
1181.184936,0.078676,382215.000000,318883.000000
1184.766246,0.074397,385401.000000,324725.000000
1188.343204,0.070468,388776.000000,330546.000000
1191.915809,0.068337,392428.000000,335292.000000
1195.484062,0.065656,395791.000000,340259.000000
1199.047962,0.065108,399382.000000,343780.000000
1203.793059,0.063501,405070.000000,349969.000000
1207.346803,0.061977,409052.000000,354651.000000
1210.896194,0.061333,412904.000000,358522.000000
1214.441233,0.060500,416885.000000,362674.000000
1217.981920,0.060177,421320.000000,366805.000000
1221.518253,0.060073,425284.000000,370345.000000
1225.050234,0.058910,429183.000000,374742.000000
1228.577863,0.058329,433814.000000,379293.000000
1232.101139,0.058409,438565.000000,383376.000000
1236.792070,0.058573,444300.000000,388243.000000
1240.305190,0.058237,448060.000000,391831.000000
1243.813957,0.058358,452297.000000,395426.000000
1247.318372,0.058474,455893.000000,398464.000000
1250.818434,0.058212,459082.000000,401493.000000
1254.314143,0.058320,462510.000000,404391.000000
1257.805500,0.058166,466532.000000,408052.000000
1261.292505,0.058046,470752.000000,411857.000000
1264.775157,0.057854,474874.000000,415647.000000
1269.411922,0.057812,480696.000000,420783.000000
1272.884417,0.058276,486062.000000,425026.000000
1276.352561,0.057960,490790.000000,429473.000000
1279.816351,0.058147,494557.000000,432583.000000
1283.275789,0.058657,498768.000000,435754.000000
1286.730874,0.058866,502917.000000,439168.000000
1290.181607,0.060025,506587.000000,441193.000000
1293.627987,0.060549,509239.000000,442968.000000
1297.070015,0.061496,511855.000000,444274.000000
1301.652615,0.061780,515095.000000,446794.000000
1305.084486,0.062494,516531.000000,447304.000000
1308.512005,0.063005,517299.000000,447442.000000
1311.935171,0.064290,518312.000000,446994.000000
1315.353985,0.066255,518822.000000,445413.000000
1318.768446,0.067893,518589.000000,443537.000000
1322.178555,0.069732,518088.000000,441237.000000
1325.584311,0.073507,517825.000000,437196.000000
1328.985715,0.077911,517743.000000,432716.000000
1333.514148,0.084533,517179.000000,425704.000000
1336.905396,0.089538,516086.000000,419937.000000
1340.292291,0.093645,515807.000000,415760.000000
1343.674833,0.096120,515261.000000,412959.000000
1347.053022,0.098731,514494.000000,409873.000000
1350.426860,0.100671,513196.000000,407017.000000
1353.796344,0.101246,511820.000000,405388.000000
1357.161476,0.101734,510453.000000,403852.000000
1360.522255,0.100766,508989.000000,403592.000000
1364.996523,0.100069,506578.000000,402325.000000
1368.347147,0.099757,504705.000000,401126.000000
1371.693417,0.098771,502623.000000,400379.000000
1375.035335,0.097201,499288.000000,399163.000000
1378.372901,0.094079,496007.000000,399401.000000
1381.706114,0.091547,493126.000000,399403.000000
1385.034974,0.088445,489992.000000,399709.000000
1388.359481,0.086173,487730.000000,399951.000000
1391.679637,0.084280,486234.000000,400466.000000
1396.099739,0.082083,485318.000000,401738.000000
1399.409738,0.080718,485002.000000,402741.000000
1402.715385,0.079005,484535.000000,403943.000000
1406.016679,0.077429,484521.000000,405400.000000
1409.313620,0.075461,485069.000000,407702.000000
1412.606208,0.074745,485477.000000,408718.000000
1415.894445,0.074136,485710.000000,409488.000000
1419.178328,0.074923,486186.000000,409147.000000
1422.457859,0.076777,487691.000000,408665.000000
1426.823796,0.079976,489071.000000,406814.000000
1430.093171,0.082332,490374.000000,405691.000000
1433.358193,0.084700,491971.000000,404799.000000
1436.618863,0.084497,493431.000000,406190.000000
