Method:,Column 1,,
Host Date-Time:,17/12/20 @ 10:54:46,,
Header Version:,1,,
System Temp hundredths:,2929,,
Detector Temp hundredths:,2457,,
Humidity hundredths:,1470,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.332795,91207.000000,42387.000000
905.391135,0.328408,100140.000000,47011.000000
909.293086,0.325156,108241.000000,51196.000000
913.190685,0.328578,116884.000000,54850.000000
917.083931,0.327746,127518.000000,59955.000000
920.972825,0.327328,140036.000000,65904.000000
926.151245,0.327642,160442.000000,75453.000000
930.029983,0.325991,176924.000000,83521.000000
933.904368,0.318535,192482.000000,92439.000000
937.774400,0.316375,207019.000000,99916.000000
941.640080,0.311521,220214.000000,107479.000000
945.501407,0.307108,231781.000000,114280.000000
949.358382,0.306506,242385.000000,119674.000000
953.211004,0.308713,252506.000000,124039.000000
957.059273,0.306312,262404.000000,129616.000000
962.183529,0.306893,275634.000000,135969.000000
966.021642,0.308173,285310.000000,140328.000000
969.855403,0.310583,294814.000000,144200.000000
973.684811,0.315669,303951.000000,146938.000000
977.509867,0.319899,312634.000000,149671.000000
981.330570,0.327048,320588.000000,150973.000000
985.146920,0.331423,327227.000000,152555.000000
988.958918,0.338478,332863.000000,152682.000000
992.766563,0.342060,337748.000000,153650.000000
997.836653,0.345538,342296.000000,154477.000000
1001.634142,0.346526,344897.000000,155297.000000
1005.427279,0.346459,346533.000000,156058.000000
1009.216063,0.346290,347364.000000,156493.000000
1013.000494,0.344971,347610.000000,157080.000000
1016.780573,0.342738,347104.000000,157660.000000
1020.556299,0.340272,346356.000000,158216.000000
1024.327673,0.337821,345314.000000,158633.000000
1028.094694,0.334677,344068.000000,159209.000000
1033.110618,0.331762,342670.000000,159630.000000
1036.867483,0.327605,341443.000000,160588.000000
1040.619996,0.324741,340565.000000,161235.000000
1044.368155,0.322540,339602.000000,161596.000000
1048.111963,0.319899,339187.000000,162383.000000
1051.851417,0.317095,338370.000000,163041.000000
1055.586519,0.316539,337732.000000,162942.000000
1059.317269,0.315803,337270.000000,162995.000000
1063.043666,0.313180,337131.000000,163915.000000
1068.005424,0.310920,337198.000000,164803.000000
1071.721665,0.309454,337936.000000,165722.000000
1075.433553,0.307945,338814.000000,166731.000000
1079.141089,0.306771,339835.000000,167686.000000
1082.844272,0.304365,341087.000000,169239.000000
1086.543103,0.302197,342595.000000,170838.000000
1090.237580,0.301305,344242.000000,172012.000000
1093.927706,0.300108,346318.000000,173527.000000
1097.613478,0.297302,348067.000000,175534.000000
1102.521071,0.296536,350874.000000,177262.000000
1106.196688,0.293977,352530.000000,179151.000000
1109.867952,0.293952,354393.000000,180108.000000
1113.534864,0.293218,356181.000000,181323.000000
1117.197422,0.293739,357783.000000,181920.000000
1120.855629,0.294202,359117.000000,182404.000000
1124.509482,0.296468,360790.000000,182300.000000
1128.158984,0.299985,361832.000000,181352.000000
1131.804132,0.304301,363284.000000,180279.000000
1136.657559,0.309832,364834.000000,178757.000000
1140.292552,0.314243,365983.000000,177508.000000
1143.923192,0.318665,367533.000000,176454.000000
1147.549479,0.325608,368590.000000,174155.000000
1151.171414,0.331136,369591.000000,172419.000000
1154.788996,0.337917,370608.000000,170215.000000
1158.402225,0.342172,371792.000000,169094.000000
1162.011102,0.346871,373034.000000,167833.000000
1165.615627,0.352796,374075.000000,166021.000000
1170.414889,0.358723,375979.000000,164604.000000
1174.009257,0.363354,377809.000000,163651.000000
1177.599273,0.368440,379926.000000,162652.000000
1181.184936,0.373622,382215.000000,161691.000000
1184.766246,0.378472,385401.000000,161228.000000
1188.343204,0.385029,388776.000000,160203.000000
1191.915809,0.391994,392428.000000,159135.000000
1195.484062,0.397398,395791.000000,158514.000000
1199.047962,0.401834,399382.000000,158327.000000
1203.793059,0.404878,405070.000000,159460.000000
1207.346803,0.405676,409052.000000,160732.000000
1210.896194,0.406380,412904.000000,161983.000000
1214.441233,0.407184,416885.000000,163242.000000
1217.981920,0.403952,421320.000000,166211.000000
1221.518253,0.399950,425284.000000,169328.000000
1225.050234,0.394120,429183.000000,173190.000000
1228.577863,0.389797,433814.000000,176810.000000
1232.101139,0.382842,438565.000000,181632.000000
1236.792070,0.378306,444300.000000,185939.000000
1240.305190,0.376251,448060.000000,188402.000000
1243.813957,0.373734,452297.000000,191289.000000
1247.318372,0.372764,455893.000000,193241.000000
1250.818434,0.372270,459082.000000,194814.000000
1254.314143,0.371206,462510.000000,196750.000000
1257.805500,0.371219,466532.000000,198455.000000
1261.292505,0.370511,470752.000000,200577.000000
1264.775157,0.368148,474874.000000,203437.000000
1269.411922,0.366524,480696.000000,206703.000000
1272.884417,0.364582,486062.000000,209947.000000
1276.352561,0.363635,490790.000000,212452.000000
1279.816351,0.361598,494557.000000,215089.000000
1283.275789,0.359464,498768.000000,217989.000000
1286.730874,0.358454,502917.000000,220314.000000
1290.181607,0.357701,506587.000000,222307.000000
1293.627987,0.357246,509239.000000,223705.000000
1297.070015,0.357434,511855.000000,224757.000000
1301.652615,0.356066,515095.000000,226893.000000
1305.084486,0.357865,516531.000000,226585.000000
1308.512005,0.357873,517299.000000,226918.000000
1311.935171,0.357828,518312.000000,227386.000000
1315.353985,0.359324,518822.000000,226827.000000
1318.768446,0.359721,518589.000000,226518.000000
1322.178555,0.360670,518088.000000,225805.000000
1325.584311,0.365709,517825.000000,223087.000000
1328.985715,0.363318,517743.000000,224283.000000
1333.514148,0.365554,517179.000000,222888.000000
1336.905396,0.369617,516086.000000,220346.000000
1340.292291,0.375168,515807.000000,217430.000000
1343.674833,0.382030,515261.000000,213795.000000
1347.053022,0.391664,514494.000000,208793.000000
1350.426860,0.406030,513196.000000,201490.000000
1353.796344,0.421808,511820.000000,193780.000000
1357.161476,0.437412,510453.000000,186442.000000
1360.522255,0.451118,508989.000000,180132.000000
1364.996523,0.464929,506578.000000,173667.000000
1368.347147,0.471474,504705.000000,170437.000000
1371.693417,0.474109,502623.000000,168707.000000
1375.035335,0.471883,499288.000000,168449.000000
1378.372901,0.468110,496007.000000,168802.000000
1381.706114,0.461848,493126.000000,170259.000000
1385.034974,0.458078,489992.000000,170652.000000
1388.359481,0.457189,487730.000000,170212.000000
1391.679637,0.459015,486234.000000,168978.000000
1396.099739,0.467134,485318.000000,165536.000000
1399.409738,0.475096,485002.000000,162423.000000
1402.715385,0.485216,484535.000000,158529.000000
1406.016679,0.497803,484521.000000,153996.000000
1409.313620,0.512032,485069.000000,149201.000000
1412.606208,0.531897,485477.000000,142650.000000
1415.894445,0.552564,485710.000000,136086.000000
1419.178328,0.578099,486186.000000,128441.000000
1422.457859,0.607756,487691.000000,120334.000000
1426.823796,0.653994,489071.000000,108487.000000
1430.093171,0.693836,490374.000000,99241.000000
1433.358193,0.734064,491971.000000,90756.000000
1436.618863,0.774394,493431.000000,82953.000000
1439.875180,0.805586,495220.000000,77484.000000
1443.127144,0.830812,496699.000000,73330.000000
1446.374756,0.853596,498105.000000,69779.000000
1449.618016,0.875237,499484.000000,66571.000000
1453.935591,0.907476,501051.000000,62002.000000
1457.168694,0.933030,501839.000000,58551.000000
1460.397445,0.949034,502305.000000,56485.000000
1463.621843,0.960192,502914.000000,55119.000000
