Method:,Column 1,,
Host Date-Time:,17/12/20 @ 15:18:6,,
Header Version:,1,,
System Temp hundredths:,3170,,
Detector Temp hundredths:,2792,,
Humidity hundredths:,1231,,
Lamp PD:,3651,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.072703,91207.000000,77148.000000
905.391135,0.069827,100140.000000,85267.000000
909.293086,0.067889,108241.000000,92577.000000
913.190685,0.070600,116884.000000,99347.000000
917.083931,0.073158,127518.000000,107749.000000
920.972825,0.074255,140036.000000,118028.000000
926.151245,0.076086,160442.000000,134658.000000
930.029983,0.075172,176924.000000,148804.000000
933.904368,0.069835,192482.000000,163891.000000
937.774400,0.066337,207019.000000,177694.000000
941.640080,0.062715,220214.000000,190603.000000
945.501407,0.058666,231781.000000,202494.000000
949.358382,0.055330,242385.000000,213391.000000
953.211004,0.053994,252506.000000,222986.000000
957.059273,0.052271,262404.000000,232648.000000
962.183529,0.051032,275634.000000,245076.000000
966.021642,0.049087,285310.000000,254818.000000
969.855403,0.049305,294814.000000,263174.000000
973.684811,0.049007,303951.000000,271517.000000
977.509867,0.048487,312634.000000,279608.000000
981.330570,0.047674,320588.000000,287259.000000
985.146920,0.048022,327227.000000,292973.000000
988.958918,0.046392,332863.000000,299139.000000
992.766563,0.046152,337748.000000,303697.000000
997.836653,0.046081,342296.000000,307837.000000
1001.634142,0.045317,344897.000000,310722.000000
1005.427279,0.045061,346533.000000,312380.000000
1009.216063,0.044722,347364.000000,313374.000000
1013.000494,0.044302,347610.000000,313899.000000
1016.780573,0.043901,347104.000000,313732.000000
1020.556299,0.044356,346356.000000,312728.000000
1024.327673,0.044557,345314.000000,311643.000000
1028.094694,0.044499,344068.000000,310560.000000
1033.110618,0.044916,342670.000000,309001.000000
1036.867483,0.044955,341443.000000,307867.000000
1040.619996,0.044700,340565.000000,307256.000000
1044.368155,0.045672,339602.000000,305702.000000
1048.111963,0.046099,339187.000000,305028.000000
1051.851417,0.045661,338370.000000,304601.000000
