Method:,Column 1,,
Host Date-Time:,14/1/21 @ 10:50:55,,
Header Version:,1,,
System Temp hundredths:,2742,,
Detector Temp hundredths:,2282,,
Humidity hundredths:,1218,,
Lamp PD:,3656,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.085900,91207.000000,74839.000000
905.391135,0.080625,100140.000000,83173.000000
909.293086,0.076962,108241.000000,90663.000000
913.190685,0.076773,116884.000000,97945.000000
917.083931,0.079537,127518.000000,106178.000000
920.972825,0.076157,140036.000000,117512.000000
926.151245,0.076092,160442.000000,134656.000000
930.029983,0.074388,176924.000000,149073.000000
933.904368,0.070302,192482.000000,163715.000000
937.774400,0.067495,207019.000000,177221.000000
941.640080,0.065687,220214.000000,189303.000000
945.501407,0.062786,231781.000000,200582.000000
949.358382,0.060001,242385.000000,211108.000000
953.211004,0.058904,252506.000000,220479.000000
957.059273,0.058044,262404.000000,229576.000000
962.183529,0.056099,275634.000000,242233.000000
966.021642,0.054862,285310.000000,251452.000000
969.855403,0.054388,294814.000000,260112.000000
973.684811,0.052608,303951.000000,269275.000000
977.509867,0.051981,312634.000000,277367.000000
981.330570,0.050973,320588.000000,285085.000000
985.146920,0.049989,327227.000000,291649.000000
988.958918,0.048890,332863.000000,297424.000000
992.766563,0.048150,337748.000000,302303.000000
997.836653,0.046633,342296.000000,307446.000000
1001.634142,0.045243,344897.000000,310775.000000
1005.427279,0.045152,346533.000000,312315.000000
1009.216063,0.044024,347364.000000,313878.000000
1013.000494,0.043084,347610.000000,314781.000000
1016.780573,0.041696,347104.000000,315329.000000
1020.556299,0.041481,346356.000000,314805.000000
1024.327673,0.040624,345314.000000,314478.000000
1028.094694,0.040835,344068.000000,313191.000000
1033.110618,0.041276,342670.000000,311602.000000
1036.867483,0.040825,341443.000000,310809.000000
1040.619996,0.041078,340565.000000,309829.000000
1044.368155,0.041770,339602.000000,308461.000000
1048.111963,0.042574,339187.000000,307514.000000
1051.851417,0.043049,338370.000000,306438.000000
1055.586519,0.044237,337732.000000,305025.000000
1059.317269,0.044063,337270.000000,304730.000000
1063.043666,0.044642,337131.000000,304198.000000
1068.005424,0.045476,337198.000000,303675.000000
1071.721665,0.046417,337936.000000,303681.000000
1075.433553,0.046129,338814.000000,304672.000000
1079.141089,0.047233,339835.000000,304814.000000
1082.844272,0.047222,341087.000000,305945.000000
1086.543103,0.047599,342595.000000,307031.000000
1090.237580,0.048399,344242.000000,307939.000000
1093.927706,0.049297,346318.000000,309156.000000
1097.613478,0.049566,348067.000000,310525.000000
1102.521071,0.051770,350874.000000,311445.000000
1106.196688,0.054247,352530.000000,311135.000000
1109.867952,0.057579,354393.000000,310389.000000
1113.534864,0.060112,356181.000000,310141.000000
1117.197422,0.062505,357783.000000,309824.000000
1120.855629,0.064438,359117.000000,309598.000000
1124.509482,0.067662,360790.000000,308740.000000
1128.158984,0.070371,361832.000000,307706.000000
1131.804132,0.074609,363284.000000,305941.000000
1136.657559,0.076177,364834.000000,306139.000000
1140.292552,0.074642,365983.000000,308190.000000
1143.923192,0.071398,367533.000000,311816.000000
1147.549479,0.067004,368590.000000,315893.000000
1151.171414,0.063210,369591.000000,319530.000000
1154.788996,0.060712,370608.000000,322257.000000
1158.402225,0.059624,371792.000000,324098.000000
1162.011102,0.059577,373034.000000,325216.000000
1165.615627,0.059798,374075.000000,325957.000000
1170.414889,0.059311,375979.000000,327984.000000
1174.009257,0.059791,377809.000000,329216.000000
1177.599273,0.059636,379926.000000,331179.000000
1181.184936,0.058478,382215.000000,334064.000000
1184.766246,0.056909,385401.000000,338068.000000
1188.343204,0.055249,388776.000000,342334.000000
1191.915809,0.053173,392428.000000,347206.000000
1195.484062,0.050902,395791.000000,352017.000000
1199.047962,0.049824,399382.000000,356094.000000
1203.793059,0.049518,405070.000000,361420.000000
1207.346803,0.049343,409052.000000,365120.000000
1210.896194,0.050373,412904.000000,367685.000000
1214.441233,0.050172,416885.000000,371402.000000
1217.981920,0.051576,421320.000000,374142.000000
1221.518253,0.052523,425284.000000,376839.000000
1225.050234,0.051840,429183.000000,380893.000000
1228.577863,0.052258,433814.000000,384632.000000
1232.101139,0.052176,438565.000000,388918.000000
1236.792070,0.051648,444300.000000,394483.000000
1240.305190,0.052157,448060.000000,397355.000000
1243.813957,0.052853,452297.000000,400471.000000
1247.318372,0.053385,455893.000000,403160.000000
