Method:,Column 1,,
Host Date-Time:,14/1/21 @ 14:38:19,,
Header Version:,1,,
System Temp hundredths:,3034,,
Detector Temp hundredths:,2604,,
Humidity hundredths:,1043,,
Lamp PD:,3645,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.178646,91207.000000,60448.000000
905.391135,0.172231,100140.000000,67356.000000
909.293086,0.171575,108241.000000,72915.000000
913.190685,0.172747,116884.000000,78525.000000
917.083931,0.177550,127518.000000,84727.000000
920.972825,0.177430,140036.000000,93070.000000
926.151245,0.177818,160442.000000,106537.000000
930.029983,0.175188,176924.000000,118195.000000
933.904368,0.170253,192482.000000,130058.000000
937.774400,0.165413,207019.000000,141448.000000
941.640080,0.163995,220214.000000,150956.000000
945.501407,0.159744,231781.000000,160448.000000
949.358382,0.156467,242385.000000,169059.000000
953.211004,0.155183,252506.000000,176640.000000
957.059273,0.155197,262404.000000,183558.000000
962.183529,0.152495,275634.000000,194016.000000
966.021642,0.150872,285310.000000,201579.000000
969.855403,0.149666,294814.000000,208873.000000
973.684811,0.149306,303951.000000,215525.000000
977.509867,0.149365,312634.000000,221652.000000
981.330570,0.148998,320588.000000,227483.000000
985.146920,0.149588,327227.000000,231879.000000
988.958918,0.150000,332863.000000,235649.000000
992.766563,0.150693,337748.000000,238726.000000
997.836653,0.151800,342296.000000,241325.000000
1001.634142,0.152962,344897.000000,242509.000000
1005.427279,0.154306,346533.000000,242906.000000
1009.216063,0.154709,347364.000000,243263.000000
1013.000494,0.155314,347610.000000,243096.000000
1016.780573,0.155945,347104.000000,242390.000000
1020.556299,0.156458,346356.000000,241582.000000
1024.327673,0.157088,345314.000000,240506.000000
1028.094694,0.157225,344068.000000,239563.000000
1033.110618,0.157619,342670.000000,238373.000000
1036.867483,0.157221,341443.000000,237737.000000
1040.619996,0.156580,340565.000000,237476.000000
1044.368155,0.155938,339602.000000,237155.000000
1048.111963,0.156058,339187.000000,236800.000000
1051.851417,0.154458,338370.000000,237101.000000
1055.586519,0.155462,337732.000000,236108.000000
1059.317269,0.154119,337270.000000,236515.000000
1063.043666,0.153700,337131.000000,236646.000000
1068.005424,0.153567,337198.000000,236765.000000
1071.721665,0.153346,337936.000000,237404.000000
1075.433553,0.152781,338814.000000,238331.000000
1079.141089,0.152503,339835.000000,239202.000000
1082.844272,0.152790,341087.000000,239925.000000
1086.543103,0.152901,342595.000000,240924.000000
1090.237580,0.153187,344242.000000,241923.000000
1093.927706,0.153131,346318.000000,243413.000000
1097.613478,0.151990,348067.000000,245286.000000
1102.521071,0.150882,350874.000000,247896.000000
1106.196688,0.151129,352530.000000,248924.000000
1109.867952,0.149407,354393.000000,251234.000000
1113.534864,0.149267,356181.000000,252583.000000
1117.197422,0.148024,357783.000000,254446.000000
1120.855629,0.147133,359117.000000,255919.000000
1124.509482,0.146823,360790.000000,257295.000000
1128.158984,0.146166,361832.000000,258429.000000
1131.804132,0.146067,363284.000000,259525.000000
1136.657559,0.146444,364834.000000,260406.000000
1140.292552,0.147253,365983.000000,260740.000000
1143.923192,0.148736,367533.000000,260952.000000
1147.549479,0.149898,368590.000000,261003.000000
1151.171414,0.152409,369591.000000,260203.000000
1154.788996,0.154520,370608.000000,259654.000000
1158.402225,0.156962,371792.000000,259023.000000
1162.011102,0.159898,373034.000000,258137.000000
1165.615627,0.163419,374075.000000,256767.000000
1170.414889,0.167312,375979.000000,255771.000000
1174.009257,0.171206,377809.000000,254722.000000
1177.599273,0.176848,379926.000000,252843.000000
1181.184936,0.182757,382215.000000,250929.000000
