Method:,Column 1,,
Host Date-Time:,14/1/21 @ 14:58:14,,
Header Version:,1,,
System Temp hundredths:,2937,,
Detector Temp hundredths:,2554,,
Humidity hundredths:,1080,,
Lamp PD:,3649,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.089817,91207.000000,74167.000000
905.391135,0.084148,100140.000000,82501.000000
909.293086,0.082850,108241.000000,89442.000000
913.190685,0.085167,116884.000000,96070.000000
917.083931,0.085919,127518.000000,104629.000000
920.972825,0.085523,140036.000000,115005.000000
926.151245,0.084698,160442.000000,132014.000000
930.029983,0.082115,176924.000000,146444.000000
933.904368,0.078277,192482.000000,160736.000000
937.774400,0.074307,207019.000000,174463.000000
941.640080,0.070959,220214.000000,187019.000000
945.501407,0.067033,231781.000000,198630.000000
949.358382,0.064796,242385.000000,208790.000000
953.211004,0.063668,252506.000000,218074.000000
957.059273,0.062874,262404.000000,227037.000000
962.183529,0.061305,275634.000000,239347.000000
966.021642,0.060274,285310.000000,248338.000000
969.855403,0.059836,294814.000000,256869.000000
973.684811,0.059220,303951.000000,265206.000000
977.509867,0.058686,312634.000000,273118.000000
981.330570,0.056762,320588.000000,281310.000000
985.146920,0.057117,327227.000000,286901.000000
988.958918,0.056447,332863.000000,292293.000000
992.766563,0.055915,337748.000000,296946.000000
997.836653,0.057149,342296.000000,300091.000000
1001.634142,0.058548,344897.000000,301399.000000
1005.427279,0.059237,346533.000000,302348.000000
1009.216063,0.058947,347364.000000,303276.000000
1013.000494,0.059956,347610.000000,302786.000000
1016.780573,0.060516,347104.000000,301956.000000
1020.556299,0.060694,346356.000000,301182.000000
1024.327673,0.060488,345314.000000,300418.000000
1028.094694,0.060501,344068.000000,299325.000000
1033.110618,0.060606,342670.000000,298037.000000
1036.867483,0.060161,341443.000000,297274.000000
1040.619996,0.059764,340565.000000,296781.000000
1044.368155,0.058915,339602.000000,296521.000000
1048.111963,0.059287,339187.000000,295905.000000
1051.851417,0.058617,338370.000000,295648.000000
1055.586519,0.057667,337732.000000,295737.000000
1059.317269,0.057470,337270.000000,295466.000000
1063.043666,0.057632,337131.000000,295234.000000
1068.005424,0.056852,337198.000000,295824.000000
1071.721665,0.057728,337936.000000,295874.000000
1075.433553,0.057981,338814.000000,296470.000000
1079.141089,0.057715,339835.000000,297545.000000
1082.844272,0.057944,341087.000000,298484.000000
1086.543103,0.057697,342595.000000,299974.000000
1090.237580,0.058074,344242.000000,301155.000000
1093.927706,0.057278,346318.000000,303527.000000
1097.613478,0.057046,348067.000000,305223.000000
1102.521071,0.057446,350874.000000,307401.000000
1106.196688,0.055827,352530.000000,310005.000000
1109.867952,0.056264,354393.000000,311330.000000
1113.534864,0.055142,356181.000000,313710.000000
1117.197422,0.054951,357783.000000,315260.000000
1120.855629,0.054768,359117.000000,316569.000000
1124.509482,0.055129,360790.000000,317779.000000
1128.158984,0.055410,361832.000000,318491.000000
1131.804132,0.056311,363284.000000,319106.000000
1136.657559,0.058325,364834.000000,318985.000000
1140.292552,0.059485,365983.000000,319136.000000
1143.923192,0.060565,367533.000000,319692.000000
1147.549479,0.062429,368590.000000,319238.000000
1151.171414,0.064772,369591.000000,318383.000000
1154.788996,0.068032,370608.000000,316871.000000
1158.402225,0.071682,371792.000000,315223.000000
1162.011102,0.075997,373034.000000,313149.000000
1165.615627,0.078702,374075.000000,312073.000000
1170.414889,0.083087,375979.000000,310511.000000
1174.009257,0.087145,377809.000000,309120.000000
1177.599273,0.090388,379926.000000,308540.000000
1181.184936,0.093966,382215.000000,307852.000000
1184.766246,0.097220,385401.000000,308101.000000
1188.343204,0.098509,388776.000000,309878.000000
1191.915809,0.098900,392428.000000,312507.000000
1195.484062,0.098512,395791.000000,315467.000000
1199.047962,0.096548,399382.000000,319772.000000
1203.793059,0.094708,405070.000000,325703.000000
1207.346803,0.093236,409052.000000,330022.000000
1210.896194,0.092791,412904.000000,333471.000000
1214.441233,0.091870,416885.000000,337401.000000
1217.981920,0.090746,421320.000000,341874.000000
1221.518253,0.089085,425284.000000,346413.000000
1225.050234,0.086554,429183.000000,351632.000000
1228.577863,0.085691,433814.000000,356133.000000
1232.101139,0.084462,438565.000000,361054.000000
1236.792070,0.084064,444300.000000,366111.000000
1240.305190,0.084323,448060.000000,368989.000000
1243.813957,0.084472,452297.000000,372350.000000
1247.318372,0.085065,455893.000000,374799.000000
1250.818434,0.086114,459082.000000,376510.000000
1254.314143,0.087444,462510.000000,378161.000000
1257.805500,0.088427,466532.000000,380587.000000
1261.292505,0.089504,470752.000000,383079.000000
1264.775157,0.090169,474874.000000,385842.000000
1269.411922,0.090156,480696.000000,390584.000000
1272.884417,0.089932,486062.000000,395148.000000
1276.352561,0.089512,490790.000000,399378.000000
1279.816351,0.088589,494557.000000,403299.000000
1283.275789,0.087516,498768.000000,407739.000000
1286.730874,0.086385,502917.000000,412203.000000
1290.181607,0.085804,506587.000000,415767.000000
1293.627987,0.084380,509239.000000,419316.000000
1297.070015,0.083433,511855.000000,422390.000000
1301.652615,0.082708,515095.000000,425774.000000
1305.084486,0.082577,516531.000000,427090.000000
1308.512005,0.082174,517299.000000,428122.000000
1311.935171,0.082094,518312.000000,429039.000000
1315.353985,0.082196,518822.000000,429361.000000
1318.768446,0.081977,518589.000000,429384.000000
1322.178555,0.082323,518088.000000,428628.000000
1325.584311,0.082621,517825.000000,428117.000000
1328.985715,0.083533,517743.000000,427151.000000
1333.514148,0.085362,517179.000000,424892.000000
1336.905396,0.085915,516086.000000,423455.000000
1340.292291,0.088157,515807.000000,421047.000000
1343.674833,0.090166,515261.000000,418660.000000
1347.053022,0.093357,514494.000000,414976.000000
1350.426860,0.097819,513196.000000,409698.000000
1353.796344,0.101792,511820.000000,404879.000000
1357.161476,0.106984,510453.000000,398999.000000
1360.522255,0.111016,508989.000000,394178.000000
1364.996523,0.116597,506578.000000,387302.000000
1368.347147,0.118693,504705.000000,384012.000000
1371.693417,0.119553,502623.000000,381671.000000
1375.035335,0.119688,499288.000000,379021.000000
1378.372901,0.119763,496007.000000,376465.000000
1381.706114,0.119308,493126.000000,374671.000000
1385.034974,0.118425,489992.000000,373047.000000
1388.359481,0.119163,487730.000000,370695.000000
1391.679637,0.119764,486234.000000,369047.000000
1396.099739,0.119439,485318.000000,368627.000000
1399.409738,0.119480,485002.000000,368352.000000
1402.715385,0.119782,484535.000000,367742.000000
1406.016679,0.120104,484521.000000,367459.000000
1409.313620,0.120787,485069.000000,367296.000000
1412.606208,0.121535,485477.000000,366973.000000
1415.894445,0.122731,485710.000000,366139.000000
1419.178328,0.124367,486186.000000,365120.000000
1422.457859,0.128303,487691.000000,362946.000000
1426.823796,0.133214,489071.000000,359880.000000
1430.093171,0.136909,490374.000000,357782.000000
1433.358193,0.140198,491971.000000,356239.000000
1436.618863,0.144093,493431.000000,354106.000000
1439.875180,0.148468,495220.000000,351828.000000
1443.127144,0.155142,496699.000000,347497.000000
1446.374756,0.164047,498105.000000,341408.000000
1449.618016,0.172638,499484.000000,335648.000000
1453.935591,0.186028,501051.000000,326478.000000
1457.168694,0.197377,501839.000000,318557.000000
1460.397445,0.210412,502305.000000,309425.000000
1463.621843,0.223412,502914.000000,300664.000000
1466.841888,0.236755,502990.000000,291611.000000
1470.057581,0.250763,502944.000000,282330.000000
1473.268921,0.264205,502843.000000,273670.000000
1476.475909,0.276695,502522.000000,265742.000000
1479.678544,0.289409,501687.000000,257646.000000
1483.941954,0.305568,500616.000000,247706.000000
1487.134433,0.315940,499704.000000,241420.000000
1490.322559,0.326617,498255.000000,234874.000000
1493.506333,0.334498,496773.000000,229964.000000
1496.685754,0.340924,495016.000000,225785.000000
1499.860823,0.344212,492977.000000,223159.000000
1503.031539,0.346264,491156.000000,221287.000000
1506.197903,0.345351,489004.000000,220781.000000
1509.359914,0.343176,486639.000000,220816.000000
1513.569158,0.339621,482899.000000,220920.000000
1516.721012,0.337016,479678.000000,220767.000000
1519.868515,0.334671,476890.000000,220672.000000
1523.011664,0.332252,473405.000000,220283.000000
1526.150462,0.330510,470037.000000,219595.000000
1529.284906,0.330034,466420.000000,218144.000000
1532.414998,0.328599,462360.000000,216961.000000
1535.540737,0.327922,457987.000000,215244.000000
1538.662124,0.326207,453227.000000,213850.000000
1542.817202,0.327596,447406.000000,210429.000000
1545.928433,0.328406,442064.000000,207529.000000
1549.035311,0.329065,436619.000000,204662.000000
1552.137837,0.332487,431327.000000,200595.000000
1555.236010,0.336564,425604.000000,196084.000000
1558.329830,0.341620,419782.000000,191163.000000
1561.419298,0.348613,413789.000000,185424.000000
1564.504413,0.356540,407625.000000,179358.000000
1567.585176,0.362657,401258.000000,174087.000000
1571.686088,0.369927,392494.000000,167458.000000
1574.756695,0.374321,386060.000000,163055.000000
1577.822949,0.375377,379068.000000,159713.000000
1580.884850,0.376133,372237.000000,156562.000000
1583.942399,0.377109,365532.000000,153397.000000
1586.995595,0.376765,358457.000000,150547.000000
1590.044439,0.374079,351337.000000,148472.000000
1593.088930,0.370134,343946.000000,146675.000000
1596.129068,0.364795,337142.000000,145552.000000
1600.175815,0.358606,327373.000000,143363.000000
1603.205798,0.352589,320074.000000,142122.000000
1606.231427,0.344772,312860.000000,141442.000000
1609.252704,0.337274,305444.000000,140494.000000
1612.269629,0.329216,298028.000000,139650.000000
1615.282201,0.323134,290981.000000,138271.000000
1618.290420,0.317772,283873.000000,136569.000000
1621.294287,0.313960,276705.000000,134294.000000
1624.293801,0.309876,269751.000000,132156.000000
1628.286383,0.303071,260451.000000,129615.000000
1631.275741,0.299569,253416.000000,127135.000000
1634.260747,0.295174,246537.000000,124942.000000
1637.241400,0.291116,239613.000000,122573.000000
1640.217700,0.285842,232837.000000,120562.000000
1643.189648,0.280643,225975.000000,118418.000000
1646.157243,0.275637,219107.000000,116150.000000
1649.120486,0.270024,211528.000000,113591.000000
1652.079376,0.264537,203786.000000,110825.000000
1656.017792,0.254573,192538.000000,107138.000000
1658.966526,0.249082,183108.000000,103187.000000
1661.910907,0.236947,172102.000000,99733.000000
1664.850936,0.228157,159840.000000,94521.000000
1667.786612,0.217314,145318.000000,88106.000000
1670.717936,0.204043,129601.000000,81015.000000
1673.644907,0.192862,113097.000000,72542.000000
1676.567525,0.179334,96798.000000,64052.000000
1679.485791,0.176845,82152.000000,54673.000000
1683.370042,0.180927,65700.000000,43315.000000
1686.278151,0.191025,55737.000000,35902.000000
1689.181909,0.191314,47483.000000,30565.000000
1692.081313,0.190376,40873.000000,26367.000000
1694.976365,0.185875,35375.000000,23058.000000
1697.867065,0.171017,30676.000000,20691.000000
1700.753412,0.183297,26860.000000,17612.000000
