Method:,Column 1,,
Host Date-Time:,15/1/21 @ 11:1:0,,
Header Version:,1,,
System Temp hundredths:,2998,,
Detector Temp hundredths:,2576,,
Humidity hundredths:,380,,
Lamp PD:,3651,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.079272,91207.000000,75990.000000
905.391135,0.072806,100140.000000,84684.000000
909.293086,0.070963,108241.000000,91924.000000
913.190685,0.070059,116884.000000,99471.000000
917.083931,0.072494,127518.000000,107914.000000
920.972825,0.073332,140036.000000,118279.000000
926.151245,0.071080,160442.000000,136219.000000
930.029983,0.070758,176924.000000,150324.000000
933.904368,0.066417,192482.000000,165186.000000
937.774400,0.062646,207019.000000,179211.000000
941.640080,0.060542,220214.000000,191559.000000
945.501407,0.057539,231781.000000,203020.000000
949.358382,0.055717,242385.000000,213201.000000
953.211004,0.055170,252506.000000,222383.000000
957.059273,0.054198,262404.000000,231618.000000
962.183529,0.054055,275634.000000,243376.000000
966.021642,0.051908,285310.000000,253168.000000
969.855403,0.052753,294814.000000,261093.000000
973.684811,0.050994,303951.000000,270277.000000
977.509867,0.050676,312634.000000,278202.000000
981.330570,0.051505,320588.000000,284736.000000
985.146920,0.050779,327227.000000,291119.000000
988.958918,0.051090,332863.000000,295921.000000
992.766563,0.052051,337748.000000,299600.000000
997.836653,0.053570,342296.000000,302574.000000
1001.634142,0.054724,344897.000000,304064.000000
1005.427279,0.055748,346533.000000,304787.000000
1009.216063,0.054917,347364.000000,306103.000000
1013.000494,0.053177,347610.000000,307550.000000
1016.780573,0.051309,347104.000000,308426.000000
1020.556299,0.048939,346356.000000,309445.000000
1024.327673,0.046757,345314.000000,310068.000000
1028.094694,0.045285,344068.000000,309998.000000
1033.110618,0.044235,342670.000000,309486.000000
1036.867483,0.042571,341443.000000,309562.000000
1040.619996,0.042365,340565.000000,308912.000000
1044.368155,0.041701,339602.000000,308510.000000
1048.111963,0.041673,339187.000000,308153.000000
1051.851417,0.041431,338370.000000,307582.000000
1055.586519,0.041919,337732.000000,306657.000000
1059.317269,0.042461,337270.000000,305856.000000
1063.043666,0.042913,337131.000000,305412.000000
1068.005424,0.044184,337198.000000,304580.000000
1071.721665,0.045273,337936.000000,304482.000000
1075.433553,0.045178,338814.000000,305340.000000
1079.141089,0.046428,339835.000000,305380.000000
1082.844272,0.047298,341087.000000,305891.000000
1086.543103,0.047675,342595.000000,306977.000000
1090.237580,0.048394,344242.000000,307943.000000
1093.927706,0.049061,346318.000000,309324.000000
1097.613478,0.050430,348067.000000,309908.000000
1102.521071,0.053711,350874.000000,310056.000000
1106.196688,0.055263,352530.000000,310408.000000
1109.867952,0.058002,354393.000000,310087.000000
1113.534864,0.060250,356181.000000,310042.000000
1117.197422,0.061993,357783.000000,310189.000000
1120.855629,0.062720,359117.000000,310825.000000
1124.509482,0.063557,360790.000000,311672.000000
1128.158984,0.063763,361832.000000,312424.000000
1131.804132,0.064486,363284.000000,313156.000000
1136.657559,0.066163,364834.000000,313280.000000
1140.292552,0.067228,365983.000000,313497.000000
1143.923192,0.069149,367533.000000,313435.000000
1147.549479,0.071002,368590.000000,312998.000000
1151.171414,0.073454,369591.000000,312081.000000
1154.788996,0.075521,370608.000000,311454.000000
1158.402225,0.076397,371792.000000,311819.000000
1162.011102,0.075328,373034.000000,313632.000000
1165.615627,0.073930,374075.000000,315521.000000
1170.414889,0.071003,375979.000000,319272.000000
1174.009257,0.068203,377809.000000,322901.000000
1177.599273,0.065897,379926.000000,326439.000000
1181.184936,0.063407,382215.000000,330294.000000
1184.766246,0.060556,385401.000000,335241.000000
1188.343204,0.057619,388776.000000,340471.000000
1191.915809,0.055421,392428.000000,345413.000000
1195.484062,0.053301,395791.000000,350078.000000
1199.047962,0.051982,399382.000000,354329.000000
1203.793059,0.051056,405070.000000,360142.000000
1207.346803,0.049664,409052.000000,364850.000000
1210.896194,0.049181,412904.000000,368696.000000
