Method:,Column 1,,
Host Date-Time:,15/1/21 @ 12:6:2,,
Header Version:,1,,
System Temp hundredths:,2475,,
Detector Temp hundredths:,2096,,
Humidity hundredths:,783,,
Lamp PD:,3665,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.118187,91207.000000,69477.000000
905.391135,0.112299,100140.000000,77323.000000
909.293086,0.112232,108241.000000,83591.000000
913.190685,0.111740,116884.000000,90368.000000
917.083931,0.112007,127518.000000,98529.000000
920.972825,0.111303,140036.000000,108377.000000
926.151245,0.112341,160442.000000,123873.000000
930.029983,0.109048,176924.000000,137638.000000
933.904368,0.105347,192482.000000,151023.000000
937.774400,0.100428,207019.000000,164279.000000
941.640080,0.098355,220214.000000,175586.000000
945.501407,0.095299,231781.000000,186114.000000
949.358382,0.093415,242385.000000,195475.000000
953.211004,0.091733,252506.000000,204427.000000
957.059273,0.091121,262404.000000,212740.000000
962.183529,0.089333,275634.000000,224388.000000
966.021642,0.088526,285310.000000,232697.000000
969.855403,0.087513,294814.000000,241010.000000
973.684811,0.087392,303951.000000,248549.000000
977.509867,0.087081,312634.000000,255832.000000
981.330570,0.087646,320588.000000,262000.000000
985.146920,0.086930,327227.000000,267867.000000
988.958918,0.087181,332863.000000,272323.000000
992.766563,0.087375,337748.000000,276196.000000
997.836653,0.086912,342296.000000,280214.000000
1001.634142,0.087314,344897.000000,282082.000000
1005.427279,0.087726,346533.000000,283151.000000
1009.216063,0.087569,347364.000000,283933.000000
1013.000494,0.087942,347610.000000,283890.000000
1016.780573,0.087730,347104.000000,283615.000000
1020.556299,0.087937,346356.000000,282869.000000
1024.327673,0.087253,345314.000000,282463.000000
1028.094694,0.087280,344068.000000,281426.000000
1033.110618,0.087427,342670.000000,280188.000000
1036.867483,0.085861,341443.000000,280193.000000
1040.619996,0.085994,340565.000000,279387.000000
1044.368155,0.085587,339602.000000,278858.000000
1048.111963,0.085030,339187.000000,278875.000000
1051.851417,0.084844,338370.000000,278322.000000
1055.586519,0.083778,337732.000000,278480.000000
