Method:,Column 1,,
Host Date-Time:,15/1/21 @ 15:16:42,,
Header Version:,1,,
System Temp hundredths:,2802,,
Detector Temp hundredths:,2441,,
Humidity hundredths:,262,,
Lamp PD:,3657,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.198898,91207.000000,57694.000000
905.391135,0.196189,100140.000000,63741.000000
909.293086,0.187962,108241.000000,70215.000000
913.190685,0.187473,116884.000000,75907.000000
917.083931,0.191313,127518.000000,82084.000000
920.972825,0.190110,140036.000000,90392.000000
926.151245,0.191033,160442.000000,103344.000000
930.029983,0.189630,176924.000000,114329.000000
933.904368,0.184799,192482.000000,125774.000000
937.774400,0.182360,207019.000000,136035.000000
941.640080,0.179168,220214.000000,145773.000000
945.501407,0.174940,231781.000000,154931.000000
949.358382,0.174144,242385.000000,162316.000000
953.211004,0.173184,252506.000000,169468.000000
957.059273,0.173006,262404.000000,176183.000000
962.183529,0.170563,275634.000000,186110.000000
966.021642,0.169969,285310.000000,192907.000000
969.855403,0.168718,294814.000000,199908.000000
973.684811,0.167942,303951.000000,206472.000000
977.509867,0.167869,312634.000000,212406.000000
981.330570,0.167545,320588.000000,217973.000000
985.146920,0.165585,327227.000000,223493.000000
988.958918,0.164861,332863.000000,227722.000000
992.766563,0.164306,337748.000000,231359.000000
997.836653,0.163920,342296.000000,234683.000000
1001.634142,0.163139,344897.000000,236892.000000
1005.427279,0.161863,346533.000000,238716.000000
1009.216063,0.161187,347364.000000,239661.000000
1013.000494,0.159591,347610.000000,240714.000000
1016.780573,0.159485,347104.000000,240422.000000
1020.556299,0.157819,346356.000000,240826.000000
1024.327673,0.156814,345314.000000,240658.000000
1028.094694,0.156344,344068.000000,240049.000000
1033.110618,0.156070,342670.000000,239225.000000
1036.867483,0.156468,341443.000000,238150.000000
1040.619996,0.156227,340565.000000,237669.000000
1044.368155,0.155998,339602.000000,237122.000000
1048.111963,0.156250,339187.000000,236695.000000
1051.851417,0.156463,338370.000000,236009.000000
1055.586519,0.155588,337732.000000,236039.000000
1059.317269,0.156498,337270.000000,235223.000000
1063.043666,0.156018,337131.000000,235386.000000
1068.005424,0.157835,337198.000000,234450.000000
1071.721665,0.157772,337936.000000,234997.000000
1075.433553,0.159128,338814.000000,234873.000000
1079.141089,0.160466,339835.000000,234856.000000
1082.844272,0.160609,341087.000000,235644.000000
1086.543103,0.162692,342595.000000,235553.000000
1090.237580,0.163452,344242.000000,236272.000000
1093.927706,0.165787,346318.000000,236422.000000
1097.613478,0.168188,348067.000000,236306.000000
1102.521071,0.173673,350874.000000,235222.000000
1106.196688,0.180084,352530.000000,232869.000000
1109.867952,0.190504,354393.000000,228550.000000
1113.534864,0.204593,356181.000000,222371.000000
1117.197422,0.221201,357783.000000,214990.000000
1120.855629,0.238178,359117.000000,207519.000000
1124.509482,0.253704,360790.000000,201164.000000
1128.158984,0.261912,361832.000000,197968.000000
1131.804132,0.260654,363284.000000,199339.000000
1136.657559,0.247055,364834.000000,206557.000000
1140.292552,0.232360,365983.000000,214339.000000
1143.923192,0.221101,367533.000000,220900.000000
1147.549479,0.213308,368590.000000,225546.000000
1151.171414,0.209693,369591.000000,228049.000000
1154.788996,0.207510,370608.000000,229829.000000
1158.402225,0.207772,371792.000000,230424.000000
1162.011102,0.206867,373034.000000,231676.000000
1165.615627,0.206990,374075.000000,232257.000000
1170.414889,0.204789,375979.000000,234625.000000
1174.009257,0.202570,377809.000000,236975.000000
1177.599273,0.199041,379926.000000,240247.000000
1181.184936,0.194663,382215.000000,244143.000000
1184.766246,0.188180,385401.000000,249881.000000
1188.343204,0.182827,388776.000000,255195.000000
1191.915809,0.178199,392428.000000,260352.000000
1195.484062,0.176231,395791.000000,263776.000000
1199.047962,0.173272,399382.000000,267989.000000
1203.793059,0.172811,405070.000000,272094.000000
1207.346803,0.173399,409052.000000,274397.000000
1210.896194,0.172796,412904.000000,277366.000000
1214.441233,0.173113,416885.000000,279836.000000
1217.981920,0.173709,421320.000000,282425.000000
1221.518253,0.172793,425284.000000,285684.000000
1225.050234,0.172979,429183.000000,288180.000000
1228.577863,0.172611,433814.000000,291536.000000
1232.101139,0.172321,438565.000000,294926.000000
1236.792070,0.172736,444300.000000,298497.000000
1240.305190,0.172026,448060.000000,301516.000000
1243.813957,0.172537,452297.000000,304009.000000
1247.318372,0.172506,455893.000000,306448.000000
1250.818434,0.172801,459082.000000,308382.000000
1254.314143,0.173722,462510.000000,310027.000000
1257.805500,0.173998,466532.000000,312524.000000
1261.292505,0.174366,470752.000000,315084.000000
1264.775157,0.175514,474874.000000,317004.000000
