Method:,Column 1,,
Host Date-Time:,15/1/21 @ 15:19:19,,
Header Version:,1,,
System Temp hundredths:,2944,,
Detector Temp hundredths:,2525,,
Humidity hundredths:,126,,
Lamp PD:,3655,,
Shift Vector Coefficients:,-3.96018,0.0400117,-9.79621e-05,,
Pixel to Wavelength Coefficients:,1783.94,-0.91859,-0.000241811,,
Serial Number:,6100014,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.484831,0.146467,91207.000000,65097.000000
905.391135,0.141217,100140.000000,72342.000000
909.293086,0.137474,108241.000000,78871.000000
913.190685,0.139006,116884.000000,84869.000000
917.083931,0.138290,127518.000000,92743.000000
920.972825,0.141703,140036.000000,101050.000000
926.151245,0.143180,160442.000000,115382.000000
930.029983,0.139421,176924.000000,128341.000000
933.904368,0.137181,192482.000000,140349.000000
937.774400,0.133838,207019.000000,152115.000000
941.640080,0.132446,220214.000000,162330.000000
945.501407,0.129539,231781.000000,172004.000000
949.358382,0.129004,242385.000000,180095.000000
953.211004,0.126656,252506.000000,188632.000000
957.059273,0.126741,262404.000000,195988.000000
962.183529,0.125169,275634.000000,206616.000000
966.021642,0.124074,285310.000000,214409.000000
969.855403,0.123528,294814.000000,221830.000000
973.684811,0.122134,303951.000000,229440.000000
977.509867,0.121971,312634.000000,236083.000000
981.330570,0.120631,320588.000000,242838.000000
985.146920,0.119883,327227.000000,248294.000000
988.958918,0.119609,332863.000000,252730.000000
992.766563,0.117891,337748.000000,257455.000000
997.836653,0.117863,342296.000000,260939.000000
1001.634142,0.116433,344897.000000,263789.000000
1005.427279,0.116122,346533.000000,265230.000000
1009.216063,0.115691,347364.000000,266130.000000
1013.000494,0.115865,347610.000000,266212.000000
1016.780573,0.115030,347104.000000,266336.000000
1020.556299,0.115115,346356.000000,265710.000000
1024.327673,0.114669,345314.000000,265183.000000
1028.094694,0.114754,344068.000000,264174.000000
1033.110618,0.115233,342670.000000,262811.000000
1036.867483,0.114797,341443.000000,262133.000000
1040.619996,0.115064,340565.000000,261298.000000
1044.368155,0.116746,339602.000000,259552.000000
1048.111963,0.117336,339187.000000,258883.000000
1051.851417,0.117855,338370.000000,257951.000000
1055.586519,0.118457,337732.000000,257108.000000
1059.317269,0.118320,337270.000000,256837.000000
1063.043666,0.118965,337131.000000,256350.000000
1068.005424,0.120192,337198.000000,255678.000000
1071.721665,0.121333,337936.000000,255565.000000
1075.433553,0.122069,338814.000000,255795.000000
1079.141089,0.122321,339835.000000,256417.000000
1082.844272,0.123495,341087.000000,256667.000000
1086.543103,0.124134,342595.000000,257423.000000
1090.237580,0.125552,344242.000000,257817.000000
1093.927706,0.126415,346318.000000,258857.000000
1097.613478,0.127840,348067.000000,259312.000000
1102.521071,0.129859,350874.000000,260191.000000
1106.196688,0.132773,352530.000000,259671.000000
